Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-claimresponses,5,0,0
Cross.list-byid-claimresponses-json,5,0,0
Cross.list-byid-claimresponses-xml,5,1,0
Cross.list-byid-claims,5,0,0
Cross.list-byid-claims-json,5,0,0
Cross.list-byid-claims-xml,5,0,0
Cross.list-byid-clinicalimpressions,5,0,0
Cross.list-byid-clinicalimpressions-json,5,0,0
Cross.list-byid-clinicalimpressions-xml,5,2,0
Cross.list-byid-codesystems,5,1,0
Cross.list-byid-codesystems-json,5,1,0
Cross.list-byid-codesystems-xml,5,2,0
Cross.list-byid-communicationrequests,5,0,0
Cross.list-byid-communicationrequests-json,5,2,0
Cross.list-byid-communicationrequests-xml,5,3,0
Cross.list-byid-communications,5,1,0
Cross.list-byid-communications-json,5,1,0
Cross.list-byid-communications-xml,5,1,0
Cross.list-byid-compartmentdefinitions,5,0,0
Cross.list-byid-compartmentdefinitions-json,5,1,0
Cross.list-byid-compartmentdefinitions-xml,5,1,0
Cross.list-byid-compositions,5,0,0
Cross.list-byid-compositions-json,5,1,0
Cross.list-byid-compositions-xml,5,2,0
Cross.list-byid-conceptmaps,5,0,0
Cross.list-byid-conceptmaps-json,5,2,0
Cross.list-byid-conceptmaps-xml,5,2,0
Cross.list-byid-conditions,5,0,0
Cross.list-byid-conditions-json,5,1,0
Cross.list-byid-conditions-xml,5,1,0
Cross.list-byid-consents,5,1,0
Cross.list-byid-consents-json,5,1,0
Cross.list-byid-consents-xml,5,1,0
Cross.list-byid-contracts,5,0,0
Cross.list-byid-contracts-json,5,0,0
Cross.list-byid-contracts-xml,5,0,0
Cross.list-byid-coverageeligibilityrequests,5,0,0
Cross.list-byid-coverageeligibilityrequests-json,5,2,0
Cross.list-byid-coverageeligibilityrequests-xml,5,2,0
Cross.list-byid-coverageeligibilityresponses,5,1,0
Cross.list-byid-coverageeligibilityresponses-json,5,2,0
Cross.list-byid-coverageeligibilityresponses-xml,5,2,0
Cross.list-byid-coverages,5,0,0
Cross.list-byid-coverages-json,5,1,0
Cross.list-byid-coverages-xml,5,2,0
Cross.list-byid-detectedissues,5,0,0
Cross.list-byid-detectedissues-json,5,0,0
Cross.list-byid-detectedissues-xml,5,0,0
Cross.list-byid-devicedefinitions,5,0,0
Cross.list-byid-devicedefinitions-json,5,0,0
Cross.list-byid-devicedefinitions-xml,5,0,0
Cross.list-byid-devicemetrics,5,0,0
Cross.list-byid-devicemetrics-json,5,0,0
Cross.list-byid-devicemetrics-xml,5,1,0
Cross.list-byid-devicerequests,5,1,0
Cross.list-byid-devicerequests-json,5,2,0
Cross.list-byid-devicerequests-xml,5,2,0
Cross.list-byid-devices,5,0,0
Cross.list-byid-devices-json,5,1,0
Cross.list-byid-devices-xml,5,2,0
Cross.list-byid-deviceusestatements,5,1,0
Cross.list-byid-deviceusestatements-json,5,1,0
Cross.list-byid-deviceusestatements-xml,5,2,0
Cross.list-byid-diagnosticreports,5,0,0
Cross.list-byid-diagnosticreports-json,5,1,0
Cross.list-byid-diagnosticreports-xml,5,2,0
Cross.list-byid-documentmanifests,5,1,0
Cross.list-byid-documentmanifests-json,5,3,0
Cross.list-byid-documentmanifests-xml,5,5,0
Cross.list-byid-documentreferences,5,0,0
Cross.list-byid-documentreferences-json,5,1,0
Cross.list-byid-documentreferences-xml,5,2,0
Cross.list-byid-domainresources,5,1,0
Cross.list-byid-domainresources-json,5,1,0
Cross.list-byid-domainresources-xml,5,1,0
Cross.list-byid-effectevidencesyntheses,5,0,0
Cross.list-byid-effectevidencesyntheses-json,5,0,0
Cross.list-byid-effectevidencesyntheses-xml,5,2,0
Cross.list-byid-encounters,5,0,0
Cross.list-byid-encounters-json,5,0,0
Cross.list-byid-encounters-xml,5,1,0
Cross.list-byid-endpoints,5,0,0
Cross.list-byid-endpoints-json,5,0,0
Cross.list-byid-endpoints-xml,5,0,0
Cross.list-byid-enrollmentrequests,5,0,0
Cross.list-byid-enrollmentrequests-json,5,3,0
Cross.list-byid-enrollmentrequests-xml,5,4,0
Cross.list-byid-enrollmentresponses,5,0,0
Cross.list-byid-enrollmentresponses-json,5,1,0
Cross.list-byid-enrollmentresponses-xml,5,2,0
Cross.list-byid-episodeofcares,5,0,0
Cross.list-byid-episodeofcares-json,5,0,0
Cross.list-byid-episodeofcares-xml,5,1,0
Cross.list-byid-eventdefinitions,5,0,0
Cross.list-byid-eventdefinitions-json,5,0,0
Cross.list-byid-eventdefinitions-xml,5,1,0
Cross.list-byid-evidences,5,0,0
Cross.list-byid-evidences-json,5,0,0
Cross.list-byid-evidences-xml,5,0,0
Cross.list-byid-evidencevariables,5,0,0
Cross.list-byid-evidencevariables-json,5,1,0
Cross.list-byid-evidencevariables-xml,5,1,0
Cross.list-byid-examplescenarios,5,0,0
Cross.list-byid-examplescenarios-json,5,0,0
Cross.list-byid-examplescenarios-xml,5,2,0
Cross.list-byid-explanationofbenefits,5,0,0
Cross.list-byid-explanationofbenefits-json,5,1,0
Cross.list-byid-explanationofbenefits-xml,5,2,0
Cross.list-byid-familymemberhistories,5,0,0
Cross.list-byid-familymemberhistories-json,5,1,0
Cross.list-byid-familymemberhistories-xml,5,2,0
Cross.list-byid-flags,5,1,0
Cross.list-byid-flags-json,5,1,0
Cross.list-byid-flags-xml,5,1,0
Cross.list-byid-goals,5,0,0
Cross.list-byid-goals-json,5,0,0
Cross.list-byid-goals-xml,5,2,0
Cross.list-byid-graphdefinitions,5,0,0
Cross.list-byid-graphdefinitions-json,5,1,0
Cross.list-byid-graphdefinitions-xml,5,2,0
Cross.list-byid-groups,5,1,0
Cross.list-byid-groups-json,5,1,0
Cross.list-byid-groups-xml,5,1,0
Cross.list-byid-guidanceresponses,5,0,0
Cross.list-byid-guidanceresponses-json,5,0,0
Cross.list-byid-guidanceresponses-xml,5,0,0
Cross.list-byid-healthcareservices,5,0,0
Cross.list-byid-healthcareservices-json,5,0,0
Cross.list-byid-healthcareservices-xml,5,0,0
Cross.list-byid-imagingstudies,5,0,0
Cross.list-byid-imagingstudies-json,5,0,0
Cross.list-byid-imagingstudies-xml,5,1,0
Cross.list-byid-immunizationevaluations,5,1,0
Cross.list-byid-immunizationevaluations-json,5,2,0
Cross.list-byid-immunizationevaluations-xml,5,2,0
Cross.list-byid-immunizationrecommendations,5,0,0
Cross.list-byid-immunizationrecommendations-json,5,0,0
Cross.list-byid-immunizationrecommendations-xml,5,2,0
Cross.list-byid-immunizations,5,0,0
Cross.list-byid-immunizations-json,5,3,0
Cross.list-byid-immunizations-xml,5,3,0
Cross.list-byid-implementationguides,5,1,350
Cross.list-byid-implementationguides-json,5,1,375
Cross.list-byid-implementationguides-xml,5,2,370
Cross.list-byid-insuranceplans,5,1,0
Cross.list-byid-insuranceplans-json,5,2,0
Cross.list-byid-insuranceplans-xml,5,3,0
Cross.list-byid-invoices,5,0,0
Cross.list-byid-invoices-json,5,0,0
Cross.list-byid-invoices-xml,5,1,0
Cross.list-byid-libraries,5,0,0
Cross.list-byid-libraries-json,5,1,0
Cross.list-byid-libraries-xml,5,1,0
Cross.list-byid-linkages,5,0,0
Cross.list-byid-linkages-json,5,0,0
Cross.list-byid-linkages-xml,5,1,0
Cross.list-byid-lists,5,0,0
Cross.list-byid-lists-json,5,0,0
Cross.list-byid-lists-xml,5,2,0
Cross.list-byid-locations,5,0,0
Cross.list-byid-locations-json,5,0,0
Cross.list-byid-locations-xml,5,2,0
Cross.list-byid-measurereports,5,0,0
Cross.list-byid-measurereports-json,5,1,0
Cross.list-byid-measurereports-xml,5,2,0
Cross.list-byid-measures,5,0,0
Cross.list-byid-measures-json,5,0,0
Cross.list-byid-measures-xml,5,0,0
Cross.list-byid-media,5,0,0
Cross.list-byid-media-json,5,0,0
Cross.list-byid-media-xml,5,2,0
Cross.list-byid-medicationadministrations,5,0,0
Cross.list-byid-medicationadministrations-json,5,0,0
Cross.list-byid-medicationadministrations-xml,5,1,0
Cross.list-byid-medicationdispenses,5,1,0
Cross.list-byid-medicationdispenses-json,5,2,0
Cross.list-byid-medicationdispenses-xml,5,3,0
Cross.list-byid-medicationknowledges,5,0,0
Cross.list-byid-medicationknowledges-json,5,0,0
Cross.list-byid-medicationknowledges-xml,5,2,0
Cross.list-byid-medicationrequests,5,0,0
Cross.list-byid-medicationrequests-json,5,0,0
Cross.list-byid-medicationrequests-xml,5,1,0
Cross.list-byid-medications,5,0,0
Cross.list-byid-medications-json,5,0,0
Cross.list-byid-medications-xml,5,1,0
Cross.list-byid-medicationstatements,5,1,0
Cross.list-byid-medicationstatements-json,5,1,0
Cross.list-byid-medicationstatements-xml,5,2,0
Cross.list-byid-medicinalproductauthorizations,5,1,0
Cross.list-byid-medicinalproductauthorizations-json,5,1,0
Cross.list-byid-medicinalproductauthorizations-xml,5,3,0
Cross.list-byid-medicinalproductcontraindications,5,1,0
Cross.list-byid-medicinalproductcontraindications-json,5,1,0
Cross.list-byid-medicinalproductcontraindications-xml,5,2,0
Cross.list-byid-medicinalproductindications,5,0,0
Cross.list-byid-medicinalproductindications-json,5,2,0
Cross.list-byid-medicinalproductindications-xml,5,3,0
Cross.list-byid-medicinalproductingredients,5,0,0
Cross.list-byid-medicinalproductingredients-json,5,1,0
Cross.list-byid-medicinalproductingredients-xml,5,2,0
Cross.list-byid-medicinalproductinteractions,5,0,0
Cross.list-byid-medicinalproductinteractions-json,5,1,0
Cross.list-byid-medicinalproductinteractions-xml,5,2,0
Cross.list-byid-medicinalproductmanufactureds,5,0,0
Cross.list-byid-medicinalproductmanufactureds-json,5,0,0
Cross.list-byid-medicinalproductmanufactureds-xml,5,1,0
Cross.list-byid-medicinalproductpackageds,5,0,0
Cross.list-byid-medicinalproductpackageds-json,5,0,0
Cross.list-byid-medicinalproductpackageds-xml,5,0,0
Cross.list-byid-medicinalproductpharmaceuticals,5,2,0
Cross.list-byid-medicinalproductpharmaceuticals-json,5,3,0
Cross.list-byid-medicinalproductpharmaceuticals-xml,5,3,0
Cross.list-byid-medicinalproducts,5,0,0
Cross.list-byid-medicinalproducts-json,5,1,0
Cross.list-byid-medicinalproducts-xml,5,1,0
Cross.list-byid-medicinalproductundesirableeffects,5,0,0
Cross.list-byid-medicinalproductundesirableeffects-json,5,1,0
Cross.list-byid-medicinalproductundesirableeffects-xml,5,1,0
Cross.list-byid-messagedefinitions,5,1,0
Cross.list-byid-messagedefinitions-json,5,1,0
Cross.list-byid-messagedefinitions-xml,5,1,0
Cross.list-byid-messageheaders,5,0,0
Cross.list-byid-messageheaders-json,5,2,0
Cross.list-byid-messageheaders-xml,5,3,0
Cross.list-byid-molecularsequences,5,0,0
Cross.list-byid-molecularsequences-json,5,0,0
Cross.list-byid-molecularsequences-xml,5,0,0
Cross.list-byid-namingsystems,5,0,0
Cross.list-byid-namingsystems-json,5,1,0
Cross.list-byid-namingsystems-xml,5,3,0
Cross.list-byid-nutritionorders,5,0,0
Cross.list-byid-nutritionorders-json,5,0,0
Cross.list-byid-nutritionorders-xml,5,2,0
Cross.list-byid-observationdefinitions,5,1,0
Cross.list-byid-observationdefinitions-json,5,2,0
Cross.list-byid-observationdefinitions-xml,5,4,0
Cross.list-byid-observations,5,1,0
Cross.list-byid-observations-json,5,2,0
Cross.list-byid-observations-xml,5,2,0
Cross.list-byid-operationdefinitions,5,1,0
Cross.list-byid-operationdefinitions-json,5,1,0
Cross.list-byid-operationdefinitions-xml,5,1,0
Cross.list-byid-operationoutcomes,5,0,0
Cross.list-byid-operationoutcomes-json,5,0,0
Cross.list-byid-operationoutcomes-xml,5,1,0
Cross.list-byid-organizationaffiliations,5,0,0
Cross.list-byid-organizationaffiliations-json,5,0,0
Cross.list-byid-organizationaffiliations-xml,5,3,0
Cross.list-byid-organizations,5,0,0
Cross.list-byid-organizations-json,5,2,0
Cross.list-byid-organizations-xml,5,2,0
Cross.list-byid-parameters,5,0,0
Cross.list-byid-parameters-json,5,0,0
Cross.list-byid-parameters-xml,5,1,0
Cross.list-byid-patients,5,0,570
Cross.list-byid-patients-json,5,0,595
Cross.list-byid-patients-xml,5,1,590
Cross.list-byid-paymentnotices,5,0,0
Cross.list-byid-paymentnotices-json,5,1,0
Cross.list-byid-paymentnotices-xml,5,2,0
Cross.list-byid-paymentreconciliations,5,0,0
Cross.list-byid-paymentreconciliations-json,5,1,0
Cross.list-byid-paymentreconciliations-xml,5,2,0
Cross.list-byid-people,5,1,0
Cross.list-byid-people-json,5,2,0
Cross.list-byid-people-xml,5,3,0
Cross.list-byid-plandefinitions,5,0,0
Cross.list-byid-plandefinitions-json,5,0,0
Cross.list-byid-plandefinitions-xml,5,1,0
Cross.list-byid-practitionerroles,5,0,0
Cross.list-byid-practitionerroles-json,5,2,0
Cross.list-byid-practitionerroles-xml,5,3,0
Cross.list-byid-practitioners,5,0,0
Cross.list-byid-practitioners-json,5,1,0
Cross.list-byid-practitioners-xml,5,3,0
Cross.list-byid-procedures,5,0,0
Cross.list-byid-procedures-json,5,0,0
Cross.list-byid-procedures-xml,5,1,0
Cross.list-byid-provenances,5,1,0
Cross.list-byid-provenances-json,5,1,0
Cross.list-byid-provenances-xml,5,2,0
Cross.list-byid-questionnaireresponses,5,0,0
Cross.list-byid-questionnaireresponses-json,5,0,0
Cross.list-byid-questionnaireresponses-xml,5,0,0
Cross.list-byid-questionnaires,5,0,645
Cross.list-byid-questionnaires-json,5,2,670
Cross.list-byid-questionnaires-xml,5,3,665
Cross.list-byid-relatedpeople,5,0,0
Cross.list-byid-relatedpeople-json,5,2,0
Cross.list-byid-relatedpeople-xml,5,3,0
Cross.list-byid-requestgroups,5,0,0
Cross.list-byid-requestgroups-json,5,1,0
Cross.list-byid-requestgroups-xml,5,2,0
Cross.list-byid-requirements,5,0,0
Cross.list-byid-requirements-json,5,0,0
Cross.list-byid-requirements-xml,5,1,0
Cross.list-byid-researchdefinitions,5,0,0
Cross.list-byid-researchdefinitions-json,5,1,0
Cross.list-byid-researchdefinitions-xml,5,2,0
Cross.list-byid-researchelementdefinitions,5,0,0
Cross.list-byid-researchelementdefinitions-json,5,0,0
Cross.list-byid-researchelementdefinitions-xml,5,0,0
Cross.list-byid-researchstudies,5,0,0
Cross.list-byid-researchstudies-json,5,3,0
Cross.list-byid-researchstudies-xml,5,3,0
Cross.list-byid-researchsubjects,5,0,0
Cross.list-byid-researchsubjects-json,5,1,0
Cross.list-byid-researchsubjects-xml,5,4,0
Cross.list-byid-riskassessments,5,1,0
Cross.list-byid-riskassessments-json,5,1,0
Cross.list-byid-riskassessments-xml,5,3,0
Cross.list-byid-riskevidencesyntheses,5,0,0
Cross.list-byid-riskevidencesyntheses-json,5,2,0
Cross.list-byid-riskevidencesyntheses-xml,5,3,0
Cross.list-byid-schedules,5,0,0
Cross.list-byid-schedules-json,5,1,0
Cross.list-byid-schedules-xml,5,1,0
Cross.list-byid-searchparameters,5,0,0
Cross.list-byid-searchparameters-json,5,1,0
Cross.list-byid-searchparameters-xml,5,1,0
Cross.list-byid-servicerequests,5,0,0
Cross.list-byid-servicerequests-json,5,2,0
Cross.list-byid-servicerequests-xml,5,3,0
Cross.list-byid-slots,5,0,0
Cross.list-byid-slots-json,5,0,0
Cross.list-byid-slots-xml,5,2,0
Cross.list-byid-specimen,5,0,0
Cross.list-byid-specimen-json,5,1,0
Cross.list-byid-specimen-xml,5,1,0
Cross.list-byid-specimendefinitions,5,0,0
Cross.list-byid-specimendefinitions-json,5,3,0
Cross.list-byid-specimendefinitions-xml,5,3,0
Cross.list-byid-structuredefinitions,5,1,450
Cross.list-byid-structuredefinitions-json,5,2,475
Cross.list-byid-structuredefinitions-xml,5,3,470
Cross.list-byid-structuremaps,5,0,0
Cross.list-byid-structuremaps-json,5,1,0
Cross.list-byid-structuremaps-xml,5,2,0
Cross.list-byid-subscriptions,5,1,0
Cross.list-byid-subscriptions-json,5,2,0
Cross.list-byid-subscriptions-xml,5,2,0
Cross.list-byid-subscriptiontopics,5,0,0
Cross.list-byid-subscriptiontopics-json,5,1,0
Cross.list-byid-subscriptiontopics-xml,5,2,0
Cross.list-byid-substancenucleicacids,5,0,0
Cross.list-byid-substancenucleicacids-json,5,0,0
Cross.list-byid-substancenucleicacids-xml,5,2,0
Cross.list-byid-substancepolymers,5,0,0
Cross.list-byid-substancepolymers-json,5,1,0
Cross.list-byid-substancepolymers-xml,5,1,0
Cross.list-byid-substanceproteins,5,0,0
Cross.list-byid-substanceproteins-json,5,1,0
Cross.list-byid-substanceproteins-xml,5,1,0
Cross.list-byid-substancereferenceinformations,5,1,0
Cross.list-byid-substancereferenceinformations-json,5,1,0
Cross.list-byid-substancereferenceinformations-xml,5,1,0
Cross.list-byid-substances,5,1,0
Cross.list-byid-substances-json,5,1,0
Cross.list-byid-substances-xml,5,1,0
Cross.list-byid-substancesourcematerials,5,2,0
Cross.list-byid-substancesourcematerials-json,5,2,0
Cross.list-byid-substancesourcematerials-xml,5,2,0
Cross.list-byid-substancespecifications,5,0,0
Cross.list-byid-substancespecifications-json,5,0,0
Cross.list-byid-substancespecifications-xml,5,3,0
Cross.list-byid-supplydeliveries,5,0,0
Cross.list-byid-supplydeliveries-json,5,0,0
Cross.list-byid-supplydeliveries-xml,5,1,0
Cross.list-byid-supplyrequests,5,0,0
Cross.list-byid-supplyrequests-json,5,0,0
Cross.list-byid-supplyrequests-xml,5,1,0
Cross.list-byid-tasks,5,0,0
Cross.list-byid-tasks-json,5,1,0
Cross.list-byid-tasks-xml,5,3,0
Cross.list-byid-terminologycapabilities,5,0,0
Cross.list-byid-terminologycapabilities-json,5,1,0
Cross.list-byid-terminologycapabilities-xml,5,2,0
Cross.list-byid-testplans,5,1,0
Cross.list-byid-testplans-json,5,2,0
Cross.list-byid-testplans-xml,5,3,0
Cross.list-byid-testreports,5,0,0
Cross.list-byid-testreports-json,5,0,0
Cross.list-byid-testreports-xml,5,2,0
Cross.list-byid-testscripts,5,0,0
Cross.list-byid-testscripts-json,5,0,0
Cross.list-byid-testscripts-xml,5,1,0
Cross.list-byid-valuesets,5,0,940
Cross.list-byid-valuesets-json,5,0,965
Cross.list-byid-valuesets-xml,5,2,960
Cross.list-byid-verificationresults,5,0,0
Cross.list-byid-verificationresults-json,5,0,0
Cross.list-byid-verificationresults-xml,5,0,0
Cross.list-byid-visionprescriptions,5,1,0
Cross.list-byid-visionprescriptions-json,5,2,0
Cross.list-byid-visionprescriptions-xml,5,2,0
Cross.list-capabilitystatements,5,0,0
Cross.list-capabilitystatements-json,5,0,0
Cross.list-capabilitystatements-xml,5,2,0
Cross.list-careplans,5,1,0
Cross.list-careplans-json,5,1,0
Cross.list-careplans-xml,5,1,0
Cross.list-careteams,5,0,0
Cross.list-careteams-json,5,1,0
Cross.list-careteams-xml,5,2,0
Cross.list-catalogentries,5,0,0
Cross.list-catalogentries-json,5,0,0
Cross.list-catalogentries-xml,5,2,0
Cross.list-chargeitemdefinitions,5,0,0
Cross.list-chargeitemdefinitions-json,5,1,0
Cross.list-chargeitemdefinitions-xml,5,1,0
Cross.list-chargeitems,5,0,0
Cross.list-chargeitems-json,5,0,0
Cross.list-chargeitems-xml,5,1,0
Cross.list-claimresponses,5,0,0
Cross.list-claimresponses-json,5,0,0
Cross.list-claimresponses-xml,5,1,0
Cross.list-claims,5,1,0
Cross.list-claims-json,5,2,0
Cross.list-claims-xml,5,3,0
Cross.list-clinicalimpressions,5,0,0
Cross.list-clinicalimpressions-json,5,0,0
Cross.list-clinicalimpressions-xml,5,0,0
Cross.list-codesystems,5,0,0
Cross.list-codesystems-json,5,0,0
Cross.list-codesystems-xml,5,1,0
Cross.list-communicationrequests,5,0,0
Cross.list-communicationrequests-json,5,1,0
Cross.list-communicationrequests-xml,5,1,0
Cross.list-communications,5,0,0
Cross.list-communications-json,5,1,0
Cross.list-communications-xml,5,1,0
Cross.list-compartmentdefinitions,5,0,0
Cross.list-compartmentdefinitions-json,5,0,0
Cross.list-compartmentdefinitions-xml,5,4,0
Cross.list-compositions,5,0,0
Cross.list-compositions-json,5,0,0
Cross.list-compositions-xml,5,3,0
Cross.list-conceptmaps,5,2,0
Cross.list-conceptmaps-json,5,2,0
Cross.list-conceptmaps-xml,5,2,0
Cross.list-conditions,5,0,0
Cross.list-conditions-json,5,1,0
Cross.list-conditions-xml,5,1,0
Cross.list-consents,5,0,0
Cross.list-consents-json,5,0,0
Cross.list-consents-xml,5,4,0
Cross.list-contracts,5,1,0
Cross.list-contracts-json,5,1,0
Cross.list-contracts-xml,5,2,0
Cross.list-coverageeligibilityrequests,5,2,0
Cross.list-coverageeligibilityrequests-json,5,2,0
Cross.list-coverageeligibilityrequests-xml,5,2,0
Cross.list-coverageeligibilityresponses,5,1,0
Cross.list-coverageeligibilityresponses-json,5,1,0
Cross.list-coverageeligibilityresponses-xml,5,2,0
Cross.list-coverages,5,0,0
Cross.list-coverages-json,5,0,0
Cross.list-coverages-xml,5,0,0
Cross.list-detectedissues,5,0,0
Cross.list-detectedissues-json,5,1,0
Cross.list-detectedissues-xml,5,1,0
Cross.list-devicedefinitions,5,1,0
Cross.list-devicedefinitions-json,5,1,0
Cross.list-devicedefinitions-xml,5,1,0
Cross.list-devicemetrics,5,1,0
Cross.list-devicemetrics-json,5,2,0
Cross.list-devicemetrics-xml,5,4,0
Cross.list-devicerequests,5,1,0
Cross.list-devicerequests-json,5,2,0
Cross.list-devicerequests-xml,5,3,0
Cross.list-devices,5,0,0
Cross.list-devices-json,5,0,0
Cross.list-devices-xml,5,0,0
Cross.list-deviceusestatements,5,0,0
Cross.list-deviceusestatements-json,5,1,0
Cross.list-deviceusestatements-xml,5,2,0
Cross.list-diagnosticreports,5,0,0
Cross.list-diagnosticreports-json,5,2,0
Cross.list-diagnosticreports-xml,5,2,0
Cross.list-documentmanifests,5,0,0
Cross.list-documentmanifests-json,5,1,0
Cross.list-documentmanifests-xml,5,1,0
Cross.list-documentreferences,5,0,0
Cross.list-documentreferences-json,5,0,0
Cross.list-documentreferences-xml,5,1,0
Cross.list-domainresources,5,0,0
Cross.list-domainresources-json,5,1,0
Cross.list-domainresources-xml,5,3,0
Cross.list-effectevidencesyntheses,5,0,0
Cross.list-effectevidencesyntheses-json,5,0,0
Cross.list-effectevidencesyntheses-xml,5,0,0
Cross.list-encounters,5,0,0
Cross.list-encounters-json,5,2,0
Cross.list-encounters-xml,5,2,0
Cross.list-endpoints,5,0,0
Cross.list-endpoints-json,5,0,0
Cross.list-endpoints-xml,5,2,0
Cross.list-enrollmentrequests,5,1,0
Cross.list-enrollmentrequests-json,5,1,0
Cross.list-enrollmentrequests-xml,5,2,0
Cross.list-enrollmentresponses,5,0,0
Cross.list-enrollmentresponses-json,5,1,0
Cross.list-enrollmentresponses-xml,5,2,0
Cross.list-episodeofcares,5,0,0
Cross.list-episodeofcares-json,5,0,0
Cross.list-episodeofcares-xml,5,1,0
Cross.list-eventdefinitions,5,0,0
Cross.list-eventdefinitions-json,5,3,0
